equity,symbol
10941.215325120209,AAPL
11375.030848122522,AAPL
11259.384752626547,AAPL
11433.935180547154,AAPL
11335.312474470433,AAPL
11278.778238739596,MSFT
11406.799475487634,MSFT
11363.240088938526,MSFT
11048.911093250954,MSFT
11020.141659560299,MSFT
11278.943272111379,MSFT
11189.966451230883,AAPL
10955.049747298732,AAPL
10798.931761083884,MSFT
10980.555162880903,MSFT
10911.996710663152,MSFT
10767.146018242525,AAPL
10938.423010566825,MSFT
11232.758419980073,MSFT
11532.994287780886,MSFT
11549.857417577403,AAPL
11692.965089266832,AAPL
11906.17259631889,AAPL
12016.503820245725,MSFT
12007.306264224222,MSFT
12287.155327039854,AAPL
12137.018353511856,MSFT
12310.555508191412,MSFT
12357.068261411472,MSFT
12249.926184948876,MSFT
12214.95390583123,MSFT
12312.46538522947,MSFT
12139.030127733524,MSFT
12314.75622786294,MSFT
12321.301807257209,MSFT
12328.768980331011,MSFT
11967.712287971632,MSFT
11859.367945824124,MSFT
11832.008066678345,MSFT
11917.37848554098,AAPL
11712.877483056041,MSFT
11724.066184458221,AAPL
11862.441518229747,AAPL
11913.775284860218,AAPL
11594.430181378326,AAPL
11496.917976174367,AAPL
11198.705177131682,AAPL
11388.18511464125,AAPL
11602.791224311553,AAPL
11483.765072431259,AAPL
11373.922317279426,MSFT
11390.687840508577,MSFT
11536.720114103913,MSFT
11463.869097550858,MSFT
11714.722051118742,MSFT
11746.917470555214,MSFT
11724.437380445741,MSFT
11611.080840084438,MSFT
11616.700491621534,MSFT
11574.318274793413,AAPL
11558.065927241953,MSFT
11472.196649861271,MSFT
11697.908952109603,MSFT
11687.140985512795,AAPL
11618.35850219719,MSFT
11653.659046604671,MSFT
11548.505542206185,AAPL
11566.139060829308,MSFT
11838.846030799752,AAPL
11757.310212620414,MSFT
11700.954339084949,MSFT
11849.27802571427,MSFT
11717.843909183799,AAPL
11850.660928696587,MSFT
11968.767219687958,MSFT
11931.783973596466,AAPL
11983.71833574284,MSFT
11944.788159180513,AAPL
12099.606605037967,MSFT
12226.65792459271,AAPL
12270.932330838496,AAPL
12286.433035381673,AAPL
12514.916570868798,AAPL
12686.606470946277,AAPL
12901.706306252938,AAPL
12770.115655868038,AAPL
12781.27846634162,MSFT
12739.989194111253,MSFT
12827.759818084347,AAPL
13124.090416802188,AAPL
13052.011341649219,AAPL
13025.952903214076,MSFT
12839.403412988047,MSFT
13160.05486099575,AAPL
13244.890565437147,MSFT
13454.746941202236,MSFT
13607.2775815408,MSFT
13564.548978639947,MSFT
13433.19557512065,MSFT
13255.93181199148,AAPL
13303.021529008376,AAPL
13215.888675208793,MSFT
13198.499299466665,MSFT
13291.879394989193,MSFT
13250.350199381437,MSFT
13376.301627853321,MSFT
13360.153582298255,MSFT
13342.222125484266,AAPL
13284.1287955472,AAPL
13294.49886929824,MSFT
13557.377565998679,AAPL
13686.034077749677,MSFT
13754.134017978018,MSFT
13655.735100777205,AAPL
13558.519102582251,MSFT
13826.639669831386,MSFT
14166.435482930097,MSFT
14165.765804354973,MSFT
14057.20978133752,MSFT
14014.817326423437,MSFT
13865.296190453611,MSFT
13880.637856933014,MSFT
14045.984437350253,MSFT
13952.824302726362,MSFT
13936.561063617579,MSFT
13891.227284939992,MSFT
13876.872567490465,MSFT
13818.757720229742,MSFT
13665.59547777014,AAPL
13560.301469292463,AAPL
13476.490061062252,MSFT
13515.487724587283,AAPL
13372.732886900263,AAPL
13583.733764838224,MSFT
13548.274623287873,AAPL
13286.143707129097,AAPL
12989.051506669513,AAPL
13020.587656578411,AAPL
13174.51628781146,MSFT
13204.587537474354,MSFT
13182.12623159598,MSFT
12940.83974837588,MSFT
12459.395481843301,MSFT
12468.02851851021,MSFT
12364.247497583667,MSFT
12666.770745105334,MSFT
12391.658732467858,MSFT
12626.568503012351,MSFT
12804.15213722495,MSFT
12907.667761017123,AAPL
12894.760093256105,MSFT
12854.753002065736,MSFT
12782.916927398757,MSFT
12919.838126956423,MSFT
13187.716316773478,MSFT
13238.127403453633,MSFT
13358.922016823595,MSFT
13386.423922810143,MSFT
13337.42249714474,MSFT
13469.436070910753,MSFT
13386.61367072994,MSFT
13328.6312394951,MSFT
13400.950832450599,MSFT
13951.91447952523,MSFT
13988.904957146966,MSFT
14288.4657062462,MSFT
14177.232717721063,MSFT
14324.899062497265,MSFT
14347.985464304598,MSFT
14438.455400376646,MSFT
14407.707992231368,MSFT
14433.168244997207,MSFT
14374.19596758586,MSFT
14084.364263318435,AAPL
14139.677167587704,MSFT
14328.257420953028,AAPL
14314.881624905232,AAPL
14447.093856809457,MSFT
14442.452717304337,MSFT
14840.141185388295,AAPL
14905.308574178905,MSFT
14747.914068487336,MSFT
14768.885208311545,AAPL
14802.611735982904,AAPL
14318.885970562775,AAPL
14617.772963788548,AAPL
15064.748923172741,AAPL
15001.384200401226,AAPL
14894.42565402251,AAPL
14704.904391758584,AAPL
15006.394432271036,AAPL
15523.306202775826,AAPL
15861.458233801834,AAPL
15798.482218334051,AAPL
16225.252016048169,AAPL
15873.586791054933,AAPL
15340.447160220761,MSFT
15762.448988917908,AAPL
15127.795236960019,AAPL
15014.309821200799,AAPL
14877.346959390146,AAPL
15146.434891136843,AAPL
15363.312246427784,AAPL
